TYPE,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,MARINE,STATUS_YR,age,GOV_TYPE,GOV_CAT,MANG_AUTH,ISO3,pop,logpop,veg_diversity,veg_factor,AREA,logArea,mean_access,logAccess,temp,meanbirdpop,meanmampop,meansppop,Visitation_rate,logVis
Polygon,140190,140190,Ambersham Common,Ambersham Common,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,46486.94119,4.667330971,4,Mosaic,1.415082992,0.150781911,19,1.278753601,10.16666651,502,0,502,#N/A,0
Polygon,135948,135948,An Teallach,An Teallach,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1974,46,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,3526.32908,3.547322839,8,Mosaic,51.3017505,1.710132184,183.2321429,2.263001661,6.54851191,381,30,411,#N/A,0
Polygon,142728,142728,Ant Broads & Marshes,Ant Broads & Marshes,National Nature Reserve,National Nature Reserve,National,0,1994,26,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,49105.36075,4.691128906,4,Mosaic,1.790985874,0.25309216,14.6,1.164352856,9.784722646,567,138,705,#N/A,0
Polygon,136593,136593,Ant Broads and Marshes,Ant Broads and Marshes,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1989,31,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,52471.22037,4.719921165,8,Mosaic,7.434706005,0.8712638,14.30769231,1.155569592,9.78461581,583.5,0,583.5,#N/A,0
Polygon,140783,140783,Appleby Fells,Appleby Fells,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1988,32,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,16805.46685,4.225450582,7,Mosaic,106.7725261,2.028459518,54.24882629,1.734390346,6.525508625,377.3333333,0,377.3333333,#N/A,0
Polygon,135594,135594,Ard Bheinn,Ard Bheinn,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1965,55,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,2450.121411,3.389187606,2,Mosaic,4.575189481,0.660409085,96.33333333,1.983776588,8.422222243,509,0,509,#N/A,0
Polygon,135670,135670,Ard Trilleachan,Ard Trilleachan,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1962,58,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1797.183714,3.254592474,4,Mosaic,5.788928602,0.762598193,107.3636364,2.030857213,7.703030283,443,39,482,#N/A,0
Polygon,135100,135100,Ardchyline Wood,Ardchyline Wood,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1992,28,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,2178.65287,3.338188039,6,Mosaic,1.763113972,0.246280387,40.33333333,1.605664116,8.541666667,406,36,442,#N/A,0
Polygon,135151,135151,Ardgour Pinewoods,Ardgour Pinewoods,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1996,24,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1310.261343,3.117357928,5,Mosaic,14.79197934,1.170026292,114.3870968,2.058377038,7.751612879,407,10,417,#N/A,0
Polygon,136101,136101,Ardlair - Letterewe,Ardlair - Letterewe,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1680.79667,3.225515179,10,Mosaic,92.888572,1.967962286,193.2537313,2.286127888,6.769527352,262.3333333,0,262.3333333,#N/A,0
Polygon,135593,135593,Ardmeanach,Ardmeanach,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1963,57,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,455.7504189,2.658727077,7,Mosaic,32.4489337,1.51120043,153.9516129,2.187384243,8.708465637,489,0,489,#N/A,0
Polygon,135749,135749,"Ardmore, Kildalton and Callumkill Woodlands","Ardmore, Kildalton and Callumkill Woodlands",Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1974,46,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1373.423217,3.137804385,6,Mosaic,15.03731733,1.177170365,162.12,2.209836595,9.432291716,486,0,486,#N/A,0
Polygon,135932,135932,Ardnamurchan,Ardnamurchan,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1962,58,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,2444.335537,3.388160822,8,Mosaic,38.16469914,1.581661843,144.0759494,2.15859149,9.181425715,523,0,523,#N/A,0
Polygon,139945,139945,Ardpatrick and Dunmore Woods,Ardpatrick and Dunmore Woods,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1971,49,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1087.017442,3.036236513,6,Mosaic,7.54431255,0.877619672,84.07142857,1.924648427,9.774074078,426,0,426,#N/A,0
Polygon,139854,139854,Ardura - Auchnacraig,Ardura - Auchnacraig,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1962,58,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1645.600836,3.216324499,8,Mosaic,17.8209088,1.250929848,115.5,2.062581984,9.180341843,516.6666667,0,516.6666667,#N/A,0
Polygon,136077,136077,Ardvar Woodlands,Ardvar Woodlands,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1972,48,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1178.125834,3.071191679,3,Mosaic,7.277099374,0.861958306,181.5384615,2.258968651,8.073076982,461,0,461,#N/A,0
Polygon,135562,135562,Ardwall Hill,Ardwall Hill,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1974,46,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,2926.483302,3.46634605,3,Mosaic,2.188145634,0.340076223,68.75,1.837272703,8.564583302,575,99,674,#N/A,0
Polygon,139340,139340,Arfordir Gogleddol Penmon,Arfordir Gogleddol Penmon,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1953,67,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,49840.73483,4.697584437,2,Grassland,1.03165564,0.013534757,69.45111025,1.841679193,9.634653027,453.5,0,453.5,#N/A,0
Polygon,139552,139552,Arfordir Marros-Pentywyn/Marros Pendine Coast,Arfordir Marros-Pentywyn/Marros Pendine Coast,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1988,32,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,23080.63428,4.36324774,4,Water bodies,2.482165946,0.394830813,38.0157493,1.579963555,10.0291667,439,0,439,#N/A,0
Polygon,139327,139327,Arfordir Niwgwl - Aber Bach/Newgale - Little Haven Coast,Arfordir Niwgwl - Aber Bach/Newgale - Little Haven Coast,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1954,66,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,25743.50448,4.410667667,4,Water bodies,2.053811769,0.312560638,58.6,1.767897616,10.54666653,407,52,459,#N/A,0
Polygon,139630,139630,Arfordir Pen-Bre/Pembrey Coast,Arfordir Pen-Bre/Pembrey Coast,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1953,67,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,51037.75706,4.70789158,9,Water bodies,41.26408667,1.615572237,24.14285714,1.382788665,10.51416659,493,0,493,#N/A,0
Polygon,193718,193718,Arfordir Penrhyn Angle/Angle Peninsula Coast,Arfordir Penrhyn Angle/Angle Peninsula Coast,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,2003,17,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,20563.14605,4.31308956,3,Mosaic,1.337302248,0.126229575,60.77764286,1.783743853,10.6194189,427,0,427,#N/A,0
Polygon,169653,169653,"Arkengarthdale, Gunnerside and Reeth Moors","Arkengarthdale, Gunnerside and Reeth Moors",Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1998,22,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,10481.15724,4.020409236,6,Mosaic,76.23764587,1.882169477,36.15584416,1.558178506,7.052832242,455,24,479,#N/A,0
Polygon,555581164,555581164,Arlington Court,Arlington Court,Nature Reserve,Nature Reserve,National,0,1945,75,Non-profit organisations,C,National Trust,GBR,50103.49488,4.69986802,3,Grassland,3.111063501,0.492908876,42,1.62324929,9.72129631,422.75,0,422.75,#N/A,0
Polygon,92959,92959,Arlington Reservoir,Arlington Reservoir,Local Nature Reserve,Local Nature Reserve,National,0,1980,40,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland, Local Authorities",GBR,127841.0809,5.106670434,6,Water bodies,1.004492731,0.001946798,7,0.84509804,10.4638888,499,86,585,#N/A,0
Polygon,140020,140020,Armboth Fells,Armboth Fells,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,10722.91598,4.030312903,7,Mosaic,23.43306899,1.369829171,38.73913043,1.588149868,7.020471003,529.3333333,88.33333333,617.6666666,#N/A,0
Polygon,140425,140425,Arnside Knott,Arnside Knott,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1990,30,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,88742.67186,4.9481325,5,Mosaic,1.676898159,0.224506688,18,1.255272505,9.037500143,715,131,846,#N/A,0
Polygon,174645,174645,Arran Moors,Arran Moors,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,2001,19,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,6114.605199,3.786368421,7,Mosaic,83.90713615,1.923798898,97.96,1.991048776,8.732433712,0,0,0,#N/A,0
Polygon,135671,135671,Arran Northern Mountains,Arran Northern Mountains,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1965,55,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,4820.577674,3.683099085,9,Mosaic,120.5933064,2.081323203,98.07630522,1.991564097,8.42284948,443.5,29.5,473,#N/A,0
Polygon,135249,135249,Arthur's Seat Volcano,Arthur's Seat Volcano,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1953,67,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,535690.5361,5.728913974,5,Mosaic,2.276896536,0.357343296,0,0,8.624999682,548,0,548,#N/A,0
Polygon,140221,140221,Arundel Park,Arundel Park,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1987,33,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,119025.8248,5.0756412,3,Mosaic,1.338633316,0.12666163,3.666666667,0.56427143,10.21666654,589.3333333,120.3333333,709.6666666,#N/A,0
Polygon,140156,140156,Ash Fell,Ash Fell,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1988,32,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,8660.289122,3.937532391,4,Mosaic,5.475382559,0.738414468,31.5,1.498310554,7.595000029,526.3333333,0,526.3333333,#N/A,0
Polygon,136220,136220,Ash To Brookwood Heaths,Ash To Brookwood Heaths,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1993,27,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,567500.3212,5.753966112,5,Mosaic,15.74906547,1.197254788,2.214285714,0.345233658,10.08095234,531.3333333,0,531.3333333,#N/A,0
Polygon,138886,138886,Asham Wood,Asham Wood,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1984,36,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,88793.3552,4.948380467,3,Mosaic,1.424724721,0.15373096,19,1.278753601,9.574999809,468,0,468,#N/A,0
Polygon,137655,137655,Ashburnham Park,Ashburnham Park,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,87714.58421,4.943071809,4,Mosaic,1.097095425,0.040244404,7.068244709,0.849311577,10.20298317,491,0,491,#N/A,0
Polygon,137668,137668,Ashdown Forest,Ashdown Forest,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,178464.5717,5.251552014,5,Mosaic,32.09328161,1.506414127,10.75,1.031408464,9.661805534,479.3333333,0,479.3333333,#N/A,0
Polygon,142729,142729,Ashford Hangers,Ashford Hangers,National Nature Reserve,National Nature Reserve,National,0,1995,25,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,87301.70757,4.941022738,5,Mosaic,1.439507701,0.158213993,12,1.079181246,9.670833588,544,104,648,#N/A,0
Polygon,140351,140351,Ashford Hill Woods and Meadows,Ashford Hill Woods and Meadows,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,110267.6618,5.042448166,2,Mosaic,1.41436085,0.150560226,8,0.903089987,10.01111126,563,0,563,#N/A,0
Polygon,138266,138266,Ashgill Quarry,Ashgill Quarry,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1987,33,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,6515.472141,3.813945892,4,Mosaic,1.601677518,0.20457508,33.5,1.525044807,7.816666603,453.5,0,453.5,#N/A,0
Polygon,136608,136608,Ashleworth Ham,Ashleworth Ham,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1985,35,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,178498.3316,5.251634161,2,Grassland,1.053207431,0.022513915,9.5,0.977723605,9.766666889,511,74,585,#N/A,0
Polygon,136558,136558,Ashridge Commons and Woods,Ashridge Commons and Woods,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1987,33,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,290173.6398,5.462657957,6,Mosaic,6.257405005,0.796394265,6.666666667,0.823908741,9.521111043,556.5,107.5,664,#N/A,0
Polygon,555581167,555581167,Ashridge Estate,Ashridge Estate,Nature Reserve,Nature Reserve,National,0,1926,94,Non-profit organisations,C,National Trust,GBR,423645.7679,5.627002872,6,Mosaic,12.04499946,1.080806785,6.761904762,0.83006905,9.535833311,625,121,746,#N/A,0
Polygon,142731,142731,Ashtead Common,Ashtead Common,National Nature Reserve,National Nature Reserve,National,0,1995,25,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,684127.7074,5.83513718,5,Mosaic,1.823343824,0.26086857,1,0,10.18888887,451,68,519,#N/A,0
Polygon,169657,169657,Ashton Court,Ashton Court,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1998,22,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,505884.9214,5.704051735,3,Grassland,2.102607091,0.322758125,1,0,9.9375,521,0,521,#N/A,0
Polygon,169658,169658,Assynt Lochs,Assynt Lochs,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,2000,20,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1564.139878,3.194275589,3,Water bodies,11.54676196,1.062460213,180.4166667,2.256276655,7.928333378,433.5,0,433.5,#N/A,0
Polygon,138704,138704,Attenborough Gravel Pits,Attenborough Gravel Pits,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1982,38,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,625846.8313,5.796468058,6,Water bodies,2.263142531,0.354711906,0.75,-0.124938737,9.772916555,498,97,595,#N/A,0
Polygon,169659,169659,Attingham Park,Attingham Park,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,2000,20,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,85027.70502,4.929560457,5,Grassland,1.904143264,0.279699621,4.333333333,0.636822098,9.413889249,560,0,560,#N/A,0
Polygon,139965,139965,Auchencairn and Orchardton Bays,Auchencairn and Orchardton Bays,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1956,64,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,11328.69448,4.054179865,4,Water bodies,1.763599077,0.246399863,53.63671726,1.72946219,9.056249857,452,82,534,#N/A,0
Polygon,135070,135070,Auchencorth Moss,Auchencorth Moss,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1991,29,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,90358.72163,4.955970078,2,Mosaic,1.055637851,0.023514954,23,1.361727836,7.412499905,560,0,560,#N/A,0
Polygon,135434,135434,Aucheneck,Aucheneck,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1973,47,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,99569.02683,4.998124262,2,Mosaic,1.050344149,0.021331621,11.66666667,1.06694679,8.622222265,539,0,539,#N/A,0
Polygon,139937,139937,Auchterhouse Hill,Auchterhouse Hill,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1984,36,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,116499.4486,5.06632387,2,Mosaic,2.374210022,0.375519134,12.25,1.088136089,7.470833421,479.5,0,479.5,#N/A,0
Polygon,138465,138465,Avon Gorge,Avon Gorge,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1988,32,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,519555.5733,5.715632008,3,Urban areas,1.559439671,0.192968578,0.25,-0.602059991,10.0875001,511,0,511,#N/A,0
Polygon,141018,141018,Avon Valley ( Bickton To Christchurch ),Avon Valley ( Bickton To Christchurch ),Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1993,27,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,334015.5367,5.523766668,9,Grassland,14.02956922,1.147044336,5.227272727,0.71827516,10.27738094,613,0,613,#N/A,0
Polygon,137014,137014,Back Bay to Carghidown,Back Bay to Carghidown,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1988,32,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,5682.535312,3.754542143,3,Water bodies,2.304595663,0.36259474,94.57199037,1.975762529,9.099999905,430.5,0,430.5,#N/A,0
Polygon,135055,135055,Bad na Gallaig,Bad na Gallaig,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1990,30,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,255,2.40654018,7,Mosaic,47.06431596,1.672691751,182.952381,2.262338066,7.464682525,403,34,437,#N/A,0
Polygon,136042,136042,Badanloch Bogs,Badanloch Bogs,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1963,57,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,0,0,2,Mosaic,3.902422884,0.59133433,182.7777778,2.261923393,7.576851898,373,0,373,#N/A,0
Polygon,135979,135979,Bagh Tharsgabhaig,Bagh Tharsgabhaig,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1964,56,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,792.8175122,2.899173235,3,Mosaic,5.149170378,0.711737262,172,2.235528447,8.947916865,444.5,35.5,480,#N/A,0
Polygon,136133,136133,Baleshare and Kirkibost,Baleshare and Kirkibost,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1975,45,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,3581.295263,3.554040128,9,Mosaic,13.5123214,1.130729967,325.75,2.512884424,8.756249865,448.3333333,0,448.3333333,#N/A,0
Polygon,135319,135319,Balglass Corries,Balglass Corries,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1973,47,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,103629.6786,5.015484151,4,Mosaic,2.684889377,0.428926397,40.42857143,1.606688396,7.077380998,513.5,0,513.5,#N/A,0
Polygon,135531,135531,Balnabraid Glen,Balnabraid Glen,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1974,46,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,7527.702726,3.87666246,4,Mosaic,1.043677428,0.018566291,128,2.10720997,9.416666667,418,0,418,#N/A,0
Polygon,139944,139944,Balnagrantach,Balnagrantach,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1964,56,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,6863.765903,3.836562463,2,Mosaic,1.068066795,0.028598414,118.5,2.07371835,7.583333254,542,0,542,#N/A,0
Polygon,138080,138080,"Banhaw, Spring and Blackthorn's Woods","Banhaw, Spring and Blackthorn's Woods",Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,57419.52849,4.759059622,5,Cropland,1.232350382,0.090734204,6.5,0.812913357,9.443750143,527,0,527,#N/A,0
Polygon,140507,140507,Banstead Downs,Banstead Downs,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1985,35,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,1144937.898,6.058781931,3,Urban areas,1.265293529,0.102191287,0,0,9.954166889,436,0,436,#N/A,0
Polygon,169010,169010,Bardney Limewoods,Bardney Limewoods,National Nature Reserve,National Nature Reserve,National,0,1997,23,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,58151.61003,4.764561743,5,Mosaic,3.822862302,0.582388655,11,1.041392685,9.562499841,450.8,0,450.8,#N/A,0
Polygon,141113,141113,"Bardney Limewoods, Lincolnshire","Bardney Limewoods, Lincolnshire",Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1995,25,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,61769.96994,4.79077739,6,Mosaic,5.39023944,0.731608057,9.714285714,0.987410873,9.570237977,450.8,0,450.8,#N/A,0
Polygon,136555,136555,Barle Valley,Barle Valley,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1988,32,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,14293.44357,4.155136871,4,Grassland,6.517658289,0.814091587,28.35714286,1.452662471,9.290384659,452.75,71.5,524.25,#N/A,0
Polygon,138004,138004,Barnby Broad & Marshes,Barnby Broad & Marshes,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1990,30,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,131657.1518,5.119444456,6,Mosaic,1.922093321,0.28377447,4,0.602059991,9.819444338,525,0,525,#N/A,0
Polygon,135160,135160,Barns Ness Coast,Barns Ness Coast,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1952,68,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,11955.05334,4.077551518,8,Water bodies,2.482754676,0.394933809,27.5,1.439332694,8.59404741,575.5,0,575.5,#N/A,0
Polygon,138947,138947,Baron Hill Park,Baron Hill Park,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1980,40,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,45694.00103,4.659859187,2,Grassland,1.122510782,0.050190521,61.34760847,1.787797637,9.920833588,459,31,490,#N/A,0
Polygon,555580945,555580945,Barons Haugh,Barons Haugh,Nature Reserve,Nature Reserve,National,0,1983,37,Joint governance,B,"RSPB, North Lanarkshire Council",GBR,355519.4285,5.550863339,5,Mosaic,1.077725291,0.032508075,0.5,-0.301029996,8.825000127,485,0,485,#N/A,0
Polygon,135219,135219,Barry Links,Barry Links,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1961,59,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,82352.73709,4.915678038,7,Mosaic,10.31296613,1.013383591,4.933333333,0.693140461,8.428947549,451,78,529,#N/A,0
Polygon,555581174,555581174,Basildon Park,Basildon Park,Nature Reserve,Nature Reserve,National,0,1940,80,Non-profit organisations,C,National Trust,GBR,106093.9352,5.025690558,4,Mosaic,1.625969794,0.211112473,5,0.698970004,9.958333492,564,102,666,#N/A,0
Polygon,141012,141012,Basingstoke Canal,Basingstoke Canal,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1994,26,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,990299.7235,5.995766658,3,Urban areas,1.012153294,0.005246293,1.952013052,0.290482717,10.1049531,534.125,0,534.125,#N/A,0
Polygon,140034,140034,Bassenthwaite Lake,Bassenthwaite Lake,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1994,26,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,15776.21196,4.198002733,5,Water bodies,6.750324324,0.829324639,24.53846154,1.389847331,8.36410251,560,93.5,653.5,#N/A,0
Polygon,141068,141068,Baulk Head To Mullion,Baulk Head To Mullion,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1995,25,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,32601.75236,4.513240944,4,Grassland,1.508159642,0.178447315,72.5,1.860338007,11.17083311,409,0,409,#N/A,0
